"","memberId","loanId","date","purpose","isJointApplication","loanAmount","term","interestRate","monthlyPayment","grade","loanStatus","residentialState","yearsEmployment","homeOwnership","annualIncome","incomeVerified","dtiRatio","lengthCreditHistory","numTotalCreditLines","numOpenCreditLines","numOpenCreditLines1Year","revolvingBalance","revolvingUtilizationRate","numDerogatoryRec","numDelinquency2Years","numChargeoff1year","numInquiries6Mon","isBad","hashCode"
"19",56361,53158,"2015-02-08","debtconsolidation","0",18560,"48 months",6.15999984741211,437,"C1","Current","ME","< 1 year","own",55117,"1",8.61999988555908,20,15,10,9,13488,100,0,0,0,5,"0",-1370012138
"20",56780,61671,"2014-09-27","debtconsolidation","0",21805,"36 months",22.6900005340576,841,"E3","Default","WI","2-5 years","mortgage",53808,"0",20.7399997711182,6,22,16,15,14408,48.6300010681152,9,0,0,0,"1",201656031
"21",59392,90223,"2015-05-15","debtconsolidation","0",21902,"36 months",7.1399998664856,678,"A1","Current","VT","1 year","mortgage",54800,"1",18.9799995422363,3,12,9,5,12939,65.8099975585938,0,1,1,0,"0",-1383633617
"22",60913,37398,"2015-05-17","debtconsolidation","0",16825,"36 months",14.9099998474121,583,"B2","Current","DC","2-5 years","own",59075,"1",13.0200004577637,10,19,11,10,14768,80.0299987792969,0,0,0,0,"0",2045334174
"23",61659,72260,"2014-10-01","debtconsolidation","0",19202,"36 months",14.9099998474121,665,"D3","Current","NE","10+ years","own",52890,"1",7.92000007629395,9,10,9,5,16725,55.7599983215332,0,1,1,0,"0",-903308443
"24",63741,58167,"2015-09-09","debtconsolidation","0",26531,"60 months",6.09999990463257,514,"B2","Current","IN","10+ years","rent",55839,"1",9.52999973297119,3,9,6,6,13791,68.0999984741211,0,0,0,0,"0",1212682664
"25",64156,23165,"2015-08-29","debtconsolidation","0",18970,"48 months",5.92000007629395,445,"D3","Current","WA","6-9 years","mortgage",55883,"1",16.3299999237061,10,15,11,6,15593,46.0200004577637,5,0,0,1,"0",-442184919
"26",66175,15559,"2014-07-31","debtconsolidation","0",13186,"36 months",4.57000017166138,393,"B3","Current","KS","1 year","own",52004,"1",23.4599990844727,12,13,10,8,15294,47.6500015258789,0,0,0,0,"0",-451219113
"27",67690,57720,"2015-05-11","homeimprovement","0",21812,"36 months",6.32999992370605,667,"C1","Current","IL","< 1 year","mortgage",57688,"1",21.9899997711182,10,12,10,7,10369,64.4199981689453,0,0,0,3,"0",-905777119
"28",67743,27737,"2015-03-19","debtconsolidation","0",7375,"36 months",16.5799999237061,261,"A3","Current","ND","1 year","rent",54474,"1",9.4399995803833,2,16,15,9,18395,69.5599975585938,0,0,0,0,"0",1118643086
"29",67871,64790,"2015-01-25","debtconsolidation","0",17328,"36 months",15.3599996566772,604,"E2","Default","KS","10+ years","mortgage",42901,"1",16.0400009155273,4,5,4,3,14773,65.4499969482422,1,13,7,0,"1",153586055
"30",68617,84109,"2014-12-22","debtconsolidation","0",17567,"60 months",5.3600001335144,334,"A1","Current","WA","2-5 years","own",59237,"1",21.2000007629395,37,22,16,11,12689,76.2600021362305,0,0,0,0,"0",350550813
"31",69977,56512,"2016-06-12","debtconsolidation","0",21138,"48 months",10.8199996948242,544,"A3","Current","OR","1 year","own",59179,"1",16.9599990844727,5,24,22,13,17745,52.9000015258789,0,5,4,0,"0",1943388269
"32",71921,67984,"2016-05-16","other","0",19217,"36 months",13.5699996948242,653,"B2","Current","MN","2-5 years","own",52108,"0",15.9099998474121,3,13,13,11,18477,55.7599983215332,0,0,0,1,"0",-613580034
"33",72416,93285,"2016-05-21","debtconsolidation","0",17777,"48 months",5.01000022888184,409,"A2","Current","WA","6-9 years","rent",58243,"1",25.5900001525879,5,7,5,3,10767,75.5100021362305,13,12,9,0,"0",267063831
"34",72811,22096,"2016-02-05","debtconsolidation","0",22054,"48 months",16.4300003051758,630,"E2","Default","OR","1 year","own",53462,"1",21.9500007629395,3,9,7,6,15847,56.9799995422363,0,0,0,3,"1",-124635655
"35",74113,68127,"2015-11-13","debtconsolidation","0",21092,"36 months",12.1099996566772,702,"B2","Current","ME","1 year","mortgage",53892,"1",29.4300003051758,1,10,7,4,17939,66.3199996948242,7,0,0,0,"0",33595757
"36",74348,45699,"2016-06-21","debtconsolidation","0",20133,"36 months",19.9899997711182,748,"D1","Default","MD","10+ years","rent",61440,"1",24.2900009155273,1,13,7,4,9045,85.1699981689453,0,0,0,2,"1",2086862398
"37",74985,27592,"2016-05-09","debtconsolidation","0",25256,"48 months",11.9499998092651,664,"C1","Current","CA","10+ years","own",59444,"1",16.5100002288818,16,20,13,9,15305,96.9499969482422,0,0,0,0,"0",2009675934
"38",76013,68092,"2015-04-29","debtconsolidation","0",8958,"60 months",8.73999977111816,284,"B1","Current","IA","6-9 years","own",49338,"1",16.8400001525879,26,16,12,10,9424,40.2299995422363,0,0,0,0,"0",402092785
"39",77907,86504,"2014-06-15","debtconsolidation","0",13637,"60 months",11.9200000762939,303,"D2","Default","MT","< 1 year","mortgage",55363,"1",25.4099998474121,2,15,11,7,16103,63.0200004577637,1,0,0,1,"1",885815248
"40",78276,95720,"2016-01-26","business","0",16155,"60 months",12.0600004196167,360,"C2","Current","DC","< 1 year","own",53342,"1",20.9500007629395,4,21,15,12,16189,49.1300010681152,6,0,0,18,"0",1111625809
"41",79955,58971,"2016-03-29","homeimprovement","0",19857,"36 months",15,688,"C1","Current","IN","6-9 years","rent",58806,"1",18.1399993896484,4,10,5,4,16964,55.4799995422363,0,0,0,0,"0",-117763516
"42",81949,19248,"2016-03-13","debtconsolidation","0",20046,"48 months",11.9200000762939,527,"A3","Current","MI","< 1 year","mortgage",53150,"0",24.8199996948242,5,20,18,13,16424,79,0,0,0,0,"0",123916312
"43",83026,93982,"2015-08-09","debtconsolidation","0",29194,"60 months",5.6399998664856,560,"E2","Current","CA","6-9 years","rent",52305,"0",19.1599998474121,28,13,11,10,11907,18.0400009155273,0,0,0,0,"0",1549860904
"44",84050,18983,"2016-02-24","homeimprovement","0",20232,"48 months",9.67000007629395,510,"A3","Current","IL","1 year","own",58603,"0",13.3900003433228,10,16,13,12,17839,73.9300003051758,0,0,0,0,"0",1357908873
"45",85653,98359,"2015-01-16","debtconsolidation","0",21128,"48 months",5.82999992370605,495,"C2","Current","KS","10+ years","rent",55117,"0",24.0799999237061,9,17,11,8,11110,62.7400016784668,6,0,0,1,"0",1017817571
"46",88399,42965,"2014-10-17","debtconsolidation","0",18060,"60 months",11.9899997711182,402,"D1","Current","WY","10+ years","mortgage",57826,"1",21.1800003051758,3,20,13,7,12911,62.5800018310547,0,1,1,0,"0",-798047384
"47",88514,61765,"2014-05-16","debtconsolidation","0",22816,"48 months",8.17000007629395,559,"A1","Current","NJ","< 1 year","own",57218,"0",21.2900009155273,1,14,12,10,13038,40.9099998474121,0,1,1,0,"0",-389284884
"48",89225,63195,"2015-07-03","debtconsolidation","0",16590,"60 months",17.1700000762939,414,"B1","Current","MA","1 year","own",54873,"1",14.5500001907349,18,12,11,4,19712,54.6100006103516,0,16,12,0,"0",539283125
"49",90190,68011,"2016-04-11","debtconsolidation","0",19742,"36 months",9.81999969482422,635,"B1","Current","TX","1 year","own",52691,"1",19.1700000762939,6,15,8,3,19071,69.120002746582,0,0,0,0,"0",1984270513
"50",90235,94112,"2015-12-23","debtconsolidation","0",26173,"48 months",9.94999980926514,663,"B1","Current","NM","10+ years","rent",57709,"0",12.8400001525879,17,22,15,8,11696,78.2799987792969,0,2,1,2,"0",-158005117
"51",92560,44586,"2014-08-03","debtconsolidation","0",20073,"36 months",20.4699993133545,751,"E3","Default","VT","1 year","own",50163,"0",16.8500003814697,4,12,6,6,11812,55.8800010681152,0,16,15,2,"1",1543085054
"52",93554,11032,"2014-09-11","debtconsolidation","0",15173,"36 months",8.48999977111816,479,"A3","Default","FL","< 1 year","own",48430,"1",22.1800003051758,3,13,12,7,15296,66.75,0,10,7,0,"1",366178007
"53",93847,10804,"2015-06-06","homeimprovement","0",12680,"48 months",15.3500003814697,355,"C3","Current","IA","< 1 year","own",51655,"1",9.89999961853027,24,12,11,6,13973,83,0,0,0,0,"0",-2088340270
"54",93896,93516,"2016-01-11","debtconsolidation","0",20912,"60 months",10.0100002288818,444,"B2","Default","IL","6-9 years","rent",51349,"0",21.25,8,18,16,16,14989,84.9899978637695,0,0,0,1,"1",-945313854
"55",94370,45014,"2015-10-02","homeimprovement","0",27220,"60 months",8.52999973297119,559,"E3","Current","NY","10+ years","rent",54738,"1",6.42000007629395,4,18,12,6,18218,68.1699981689453,0,2,1,0,"0",-1443847866
"56",95678,60049,"2015-10-04","debtconsolidation","0",23197,"48 months",7,555,"B2","Current","LA","10+ years","mortgage",58380,"1",11.039999961853,6,10,10,8,17195,55.9799995422363,0,8,6,0,"0",-518090612
"57",95838,28796,"2014-12-28","homeimprovement","0",18169,"60 months",7.51999998092651,364,"E3","Default","NH","< 1 year","own",47614,"0",10.7399997711182,5,12,9,9,11793,63.3800010681152,1,0,0,1,"1",2053689731
"58",96234,16662,"2014-08-12","other","0",15838,"36 months",15.4799995422363,553,"D3","Current","FL","6-9 years","rent",48722,"0",11.3699998855591,28,15,12,7,11944,60.0699996948242,0,0,0,3,"0",2118477821
"59",97575,55589,"2014-08-20","debtconsolidation","0",31286,"48 months",8.3100004196167,768,"B3","Current","CA","1 year","rent",58411,"1",22.5799999237061,7,11,8,5,13610,79.0500030517578,0,0,0,1,"0",-825775531
"60",98953,54891,"2015-05-02","debtconsolidation","0",28598,"60 months",15.039999961853,681,"A3","Current","DC","6-9 years","own",54083,"1",21.0900001525879,4,11,7,7,9229,53.3300018310547,0,10,8,0,"0",-674934844
"61",100039,11663,"2015-07-13","debtconsolidation","0",14059,"60 months",12.8800001144409,319,"E1","Current","MA","1 year","rent",51545,"1",14.7799997329712,18,15,10,9,13847,50.439998626709,1,0,0,0,"0",555217021
"62",100497,62741,"2015-01-12","homeimprovement","0",22106,"60 months",5.1399998664856,419,"D2","Default","MS","< 1 year","own",50183,"1",18.5300006866455,5,17,16,15,7481,46.7700004577637,0,0,0,1,"1",664261182
"63",101389,30740,"2015-05-24","debtconsolidation","0",16272,"48 months",12.539999961853,433,"E3","Current","TX","1 year","rent",55551,"0",14.5200004577637,15,15,9,9,16465,47.6300010681152,0,0,0,1,"0",-1763247248
"64",101701,50906,"2015-12-24","debtconsolidation","0",19660,"36 months",12.1700000762939,655,"E1","Current","MT","10+ years","mortgage",51602,"0",18.3099994659424,14,16,12,10,13386,75.3199996948242,0,0,0,3,"0",1552325077
"65",102537,81257,"2014-11-01","debtconsolidation","0",26541,"60 months",7.78999996185303,535,"A3","Default","SC","< 1 year","rent",52052,"1",15.5699996948242,5,17,15,8,14787,70.6500015258789,0,0,0,0,"1",1380106135
"66",102652,60057,"2015-02-24","debtconsolidation","0",20027,"36 months",7.90000009536743,627,"A1","Current","TX","6-9 years","mortgage",57685,"1",19.4799995422363,1,19,14,13,13037,81.1500015258789,0,0,0,0,"0",1783745884
"67",103399,95445,"2015-01-31","debtconsolidation","0",24724,"36 months",10.3800001144409,802,"D1","Current","CA","< 1 year","mortgage",49871,"1",7.92000007629395,4,18,13,8,20304,60.4799995422363,2,0,0,0,"0",-1068553303
"68",103634,59935,"2016-04-03","debtconsolidation","0",20668,"36 months",12.8500003814697,695,"E3","Current","MO","10+ years","mortgage",55253,"1",16.7900009155273,10,16,12,7,16480,71.629997253418,0,0,0,17,"0",121877572
"69",104282,34749,"2015-01-09","debtconsolidation","0",17594,"60 months",5.98000001907349,340,"E1","Current","NH","6-9 years","rent",54926,"0",20.2800006866455,37,13,10,8,13398,84.1999969482422,0,0,0,2,"0",-1452773905
"70",106463,81617,"2015-04-23","debtconsolidation","0",20532,"60 months",8.39000034332275,420,"B1","Current","NV","10+ years","mortgage",56933,"1",13.6000003814697,6,19,10,6,10790,83.379997253418,0,0,0,1,"0",824758615
"71",106667,98558,"2015-05-09","debtconsolidation","0",18433,"36 months",9.72000026702881,592,"E3","Default","NE","< 1 year","rent",58932,"1",21.2399997711182,27,13,12,7,15793,60.9199981689453,0,0,0,0,"1",-1000602602
"72",20597,52558,"2015-08-06","debtconsolidation","0",25717,"48 months",10.6599998474121,660,"A1","Current","NC","10+ years","own",56623,"1",12.6199998855591,34,21,14,11,12889,51.8899993896484,0,0,0,0,"0",1252566036
"73",21414,65992,"2014-05-21","debtconsolidation","0",23226,"60 months",8.5,477,"E2","Current","WY","10+ years","own",55618,"1",14.9200000762939,6,15,13,9,14504,79.5100021362305,0,0,0,1,"0",1613347339
"74",22832,49183,"2016-06-01","debtconsolidation","0",20664,"60 months",9.71000003814697,363,"B3","Current","WA","6-9 years","mortgage",51013,"1",11.1400003433228,6,13,8,3,15557,58.9000015258789,0,0,0,0,"0",-1179790705
"75",23160,90036,"2015-05-21","debtconsolidation","0",25290,"60 months",8.59000015258789,520,"A2","Current","WA","< 1 year","rent",56411,"1",25.6200008392334,2,11,6,6,13959,30.5799999237061,0,0,0,0,"0",818803700
"76",23787,32329,"2015-06-26","homeimprovement","0",21636,"48 months",11.1499996185303,561,"A1","Current","ND","< 1 year","own",53496,"0",21.5100002288818,4,20,12,5,14942,56.2599983215332,0,0,0,0,"0",613139026
"77",26062,11770,"2015-12-11","debtconsolidation","0",14486,"60 months",12.3999996185303,325,"B2","Current","NE","6-9 years","mortgage",51170,"1",23.8099994659424,39,12,9,3,15986,84.8300018310547,0,1,1,19,"0",922010163
"78",29240,27315,"2015-11-06","debtconsolidation","0",27523,"36 months",14.8900003433228,953,"A1","Current","OR","2-5 years","rent",55120,"1",22.6700000762939,34,10,5,5,12396,53.7700004577637,0,0,0,1,"0",-525984350
"79",31938,53933,"2015-11-20","debtconsolidation","0",21375,"48 months",10.9099998474121,552,"B3","Current","FL","1 year","mortgage",57800,"0",11.9899997711182,33,11,11,7,15125,58.7400016784668,0,0,0,4,"0",2082654742
"80",32348,41593,"2016-03-25","healthcare","0",22437,"60 months",23.7299995422363,642,"C1","Default","NH","< 1 year","own",57408,"1",20.1299991607666,4,15,8,5,13102,74.5800018310547,0,3,3,1,"1",-1742974010
"81",32650,66437,"2015-09-03","debtconsolidation","0",31517,"60 months",4.92000007629395,594,"E2","Current","TX","< 1 year","own",57692,"0",17.2000007629395,5,15,8,3,14525,47.5900001525879,0,0,0,0,"0",180668229
"82",35897,12967,"2015-07-28","debtconsolidation","0",21865,"48 months",8.42000007629395,538,"A1","Current","MT","2-5 years","mortgage",52129,"1",21.5699996948242,1,20,17,8,14579,55.7000007629395,0,0,0,0,"0",-1791783386
"83",36406,12784,"2014-11-19","debtconsolidation","0",21061,"48 months",14.7299995422363,583,"B2","Current","VA","10+ years","own",52396,"0",19.8899993896484,3,13,12,9,17187,49.6100006103516,0,0,0,0,"0",1318654120
"84",37244,45743,"2014-10-29","business","0",25356,"48 months",11.0699996948242,656,"B3","Current","NH","< 1 year","mortgage",61224,"1",17.75,6,9,9,4,15494,64.879997253418,2,0,0,0,"0",253847257
"85",39020,17890,"2016-03-14","debtconsolidation","0",19608,"60 months",20.4500007629395,524,"A1","Default","NE","1 year","mortgage",52705,"1",20.9200000762939,24,14,8,5,9332,59.4700012207031,0,0,0,1,"1",-1490724382
"86",39068,76836,"2014-08-14","homeimprovement","0",23517,"36 months",5.76999998092651,713,"A1","Current","ND","10+ years","rent",57084,"1",22.1700000762939,9,14,10,8,14892,61.189998626709,0,0,0,0,"0",298072656
"87",41124,55656,"2016-01-17","debtconsolidation","0",36921,"60 months",7.46000003814697,739,"C3","Current","CA","10+ years","mortgage",59155,"1",21.3099994659424,9,5,3,1,13932,63.7999992370605,0,0,0,1,"0",-1097490560
"88",41954,48068,"2014-06-11","debtconsolidation","0",24293,"60 months",9.60000038146973,511,"A1","Current","CA","6-9 years","rent",62741,"1",24.6700000762939,37,14,9,5,14546,88.0500030517578,0,1,1,0,"0",2102739268
"89",42059,25994,"2014-06-23","debtconsolidation","0",17993,"60 months",13.5799999237061,415,"C1","Current","MD","10+ years","rent",50997,"0",12.5600004196167,2,14,9,4,18812,44.1399993896484,0,0,0,3,"0",1552392539
"90",42356,27466,"2014-11-07","debtconsolidation","0",13729,"48 months",14.8699998855591,381,"B1","Current","IN","1 year","own",57375,"0",17.8700008392334,5,18,10,3,14011,64.9100036621094,0,0,0,12,"0",1426653827
"91",45421,33165,"2015-07-04","debtconsolidation","0",13091,"60 months",6.32000017166138,255,"D3","Current","KY","< 1 year","mortgage",59942,"0",8.52999973297119,7,12,9,3,11574,72.3899993896484,0,19,11,0,"0",227818793
"92",46250,71160,"2014-07-19","debtconsolidation","0",21243,"60 months",9.64999961853027,448,"A1","Current","WY","2-5 years","own",51229,"0",18.3600006103516,6,17,9,9,16375,65.9100036621094,1,1,1,1,"0",687710191
"93",49636,54442,"2016-05-11","debtconsolidation","0",20749,"48 months",13.5799999237061,563,"A1","Current","NE","6-9 years","own",58824,"1",18.2600002288818,6,12,7,3,13268,64.4899978637695,14,20,14,0,"0",1765323418
"94",50118,65331,"2014-08-14","debtconsolidation","0",21211,"60 months",20.3500003814697,566,"A1","Current","MT","10+ years","own",50828,"0",14.0500001907349,27,7,6,4,16242,51.0200004577637,1,0,0,1,"0",-1034694651
"95",53115,32922,"2016-06-10","debtconsolidation","0",24956,"60 months",16.1800003051758,609,"A3","Current","MT","6-9 years","mortgage",57466,"0",7.09999990463257,1,16,11,5,16044,68.8499984741211,0,2,1,1,"0",-1483233131
"96",53510,58625,"2015-05-24","homeimprovement","0",23292,"60 months",5.23999977111816,442,"D2","Current","NM","10+ years","rent",57372,"0",17.4400005340576,4,14,8,5,13650,62.3499984741211,0,1,1,0,"0",-1261546041
"97",53837,86029,"2015-10-05","debtconsolidation","0",20779,"48 months",16.0200004577637,589,"B3","Current","LA","10+ years","own",50774,"1",16.0100002288818,19,9,5,5,13956,100,0,0,0,0,"0",-601805832
"98",54201,98744,"2014-12-14","homeimprovement","0",23328,"48 months",14.4099998474121,642,"B3","Current","IA","1 year","mortgage",57464,"1",14.6599998474121,8,21,17,12,16142,44.2999992370605,0,0,0,0,"0",1756384704
"99",58185,40720,"2015-07-06","debtconsolidation","0",18945,"60 months",8.97000026702881,393,"B1","Current","WV","1 year","mortgage",61099,"1",15.8299999237061,3,9,7,6,16355,64.620002746582,0,0,0,0,"0",-1394204957
"100",58191,64714,"2015-12-24","debtconsolidation","0",22334,"48 months",8.52000045776367,551,"A3","Current","CT","1 year","own",57424,"1",21.6900005340576,5,25,24,8,16113,67.9700012207031,0,0,0,0,"0",854406041
"101",58444,50739,"2016-01-23","debtconsolidation","0",29099,"60 months",18.1599998474121,741,"A2","Current","DC","10+ years","mortgage",59740,"1",17.1499996185303,18,16,9,6,12689,87.9300003051758,0,0,0,0,"0",-358806407
"102",59168,56029,"2015-02-09","debtconsolidation","0",28275,"60 months",9.30000019073486,591,"B1","Current","MD","2-5 years","own",48837,"0",10.4300003051758,1,15,14,6,16712,51.2299995422363,0,9,7,0,"0",1832750725
"103",59654,90016,"2015-06-18","debtconsolidation","0",16773,"60 months",7.98000001907349,340,"A2","Current","VA","2-5 years","mortgage",51239,"1",14.0100002288818,9,15,8,6,16227,89.6900024414062,5,0,0,0,"0",557184290
"104",60177,97007,"2014-09-03","debtconsolidation","0",20606,"60 months",10.1400003433228,439,"B3","Current","WI","10+ years","own",53634,"1",21.8199996948242,2,10,6,6,20578,76.3199996948242,0,3,3,0,"0",1871755891
"105",60747,31645,"2016-03-22","debtconsolidation","0",18965,"60 months",12.1800003051758,424,"C1","Current","KY","< 1 year","mortgage",58439,"1",7.3600001335144,1,21,12,11,16390,61.560001373291,0,0,0,2,"0",444685402
"106",61399,84815,"2015-12-13","debtconsolidation","0",24595,"48 months",23.0699996948242,789,"A3","Default","FL","6-9 years","own",53558,"1",16.9400005340576,6,13,7,5,12402,79.9000015258789,1,5,4,0,"1",-75216497
"107",61852,95339,"2016-02-12","debtconsolidation","0",22800,"48 months",12.3699998855591,605,"D1","Current","DC","2-5 years","own",53782,"1",20.5100002288818,37,17,17,11,18626,80.4100036621094,0,1,1,1,"0",-2061114412
"108",62224,76407,"2015-08-29","debtconsolidation","0",22727,"60 months",11.4200000762939,499,"B1","Current","FL","10+ years","own",58134,"0",15.210000038147,7,19,18,10,14281,46.4599990844727,0,0,0,7,"0",995410764
"109",64209,22622,"2016-02-23","debtconsolidation","0",20749,"48 months",11.1300001144409,538,"C2","Current","MD","< 1 year","own",57088,"0",18.5799999237061,4,13,13,12,14457,41.2400016784668,0,0,0,0,"0",-63309834
"110",65601,39754,"2014-11-20","homeimprovement","0",20664,"36 months",14.8299999237061,794,"B3","Current","MS","6-9 years","mortgage",52464,"1",9.39000034332275,5,21,21,21,19949,50.060001373291,0,2,1,0,"0",246310921
"111",66145,24807,"2014-06-04","debtconsolidation","0",21240,"60 months",9.72999954223633,448,"A3","Current","NE","< 1 year","own",55168,"1",11.8999996185303,1,14,14,9,18557,65.120002746582,0,4,3,0,"0",-1342338341
"112",71158,59925,"2014-09-08","debtconsolidation","0",15976,"36 months",9.77000045776367,514,"B1","Current","IN","6-9 years","own",51948,"1",14.460000038147,21,18,16,11,15445,67.6500015258789,0,15,12,0,"0",782624878
"113",74153,54338,"2015-11-19","debtconsolidation","0",14456,"36 months",11.5100002288818,477,"A1","Current","DC","< 1 year","own",54247,"1",11.4099998474121,3,18,10,8,13651,74.4300003051758,0,0,0,0,"0",-68737557
"114",74353,38335,"2014-09-27","debtconsolidation","0",22556,"48 months",4.86999988555908,518,"E3","Default","AR","< 1 year","own",49298,"1",21.3999996185303,7,11,9,8,14491,77.7799987792969,0,1,1,1,"1",1333357181
"115",75017,50196,"2015-09-14","debtconsolidation","0",28168,"60 months",8.02000045776367,571,"A1","Current","IL","< 1 year","rent",55233,"0",30.0900001525879,8,16,15,11,17636,65.1900024414062,0,0,0,18,"0",-97685663
"116",76150,27838,"2015-06-25","debtconsolidation","0",11934,"36 months",10.1099996566772,386,"B3","Current","DC","< 1 year","rent",55905,"0",12.8900003433228,8,8,6,6,14344,73.8199996948242,0,0,0,0,"0",-658289344
"117",77731,45081,"2014-12-20","other","0",28602,"60 months",16.4899997711182,703,"A1","Current","TX","< 1 year","rent",56381,"0",18.3600006103516,10,20,18,11,19064,60.8499984741211,0,0,0,1,"0",1930795774
"118",81499,96881,"2016-03-31","debtconsolidation","0",13214,"36 months",11.1300001144409,433,"E3","Current","DC","6-9 years","rent",57708,"1",18.4699993133545,3,14,8,8,18810,50.4500007629395,0,0,0,0,"0",242302375
"119",82183,21386,"2016-04-27","debtconsolidation","0",19968,"60 months",10.5100002288818,429,"B1","Current","AZ","2-5 years","rent",59078,"0",17.3999996185303,9,19,16,11,11980,52.6800003051758,0,0,0,0,"0",1512853390
"120",82295,36742,"2015-02-19","homeimprovement","0",19936,"36 months",7.84999990463257,623,"B3","Current","DC","6-9 years","mortgage",56377,"0",23.9300003051758,6,13,8,5,15679,69.8300018310547,0,0,0,1,"0",-413577149
"121",84363,10219,"2014-10-03","auto","0",26199,"48 months",15.7200002670288,739,"A1","Current","CA","6-9 years","mortgage",52366,"1",14.4099998474121,3,18,15,7,17969,77.5999984741211,11,0,0,3,"0",-766550674
"122",84461,15992,"2014-05-27","business","0",27892,"36 months",13.6800003051758,949,"B2","Current","CA","< 1 year","mortgage",53559,"1",16.7199993133545,3,14,12,5,12374,51.1699981689453,1,0,0,0,"0",-492412445
